Código da Instituição,Nome da Instituição,Categoria Administrativa,Organização Acadêmica,Código do Curso de Graduação,Nome do Curso de Graduação,Código da Região Geográfica do Curso,Código da Unidade Federativa do Curso,Código do Município do Curso,Grau Acadêmico,Modalidade de Ensino,Código da área do Curso segundo a classificação CINE BRASIL,Nome da área do Curso segundo a classificação CINE BRASIL,Código da Grande Área do Curso segundo a classificação CINE BRASIL,Nome da Grande Área do Curso segundo a classificação CINE BRASIL,Ano de Ingresso,Ano de Referência,Prazo de Integralização em Anos,Ano de Integralização do Curso,Prazo de Acompanhamento do Curso em anos,Ano Máximo de Acompanhamento do Curso,Quantidade de Ingressantes no Curso,Quantidade de Permanência no Curso no ano de referência,Quantidade de Concluintes no Curso no ano de referência,Quantidade de Desistência no Curso no ano de referência,Quantidade de Falecimentos no Curso no ano de referência,Indicadores de Trajetória,Taxa de Permanência - TAP,Taxa de Conclusão Acumulada - TCA,Taxa de Desistência Acumulada - TDA,Taxa de Conclusão Anual - TCAN,Taxa de Desistência Anual - TADA
CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2019,5,2023,8,2026,41,39,0,2,0,"95,1","0,0","4,9","0,0","4,9"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2020,5,2023,8,2026,41,39,0,0,0,"95,1","0,0","4,9","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2021,5,2023,8,2026,41,39,0,0,0,"95,1","0,0","4,9","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2022,5,2023,8,2026,41,21,8,10,0,"51,2","19,5","29,3","19,5","24,4"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3563,EDUCAÇÃO FÍSICA,2,24,2408003,2,1,0114E03,Educação física formação de professor,01,Educação,2019,2023,5,2023,8,2026,41,15,6,0,0,"36,6","34,1","29,3","14,6","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2019,6,2024,10,2028,36,30,0,5,1,"85,7","0,0","14,3","0,0","14,3"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2020,6,2024,10,2028,36,28,0,2,0,"80,0","0,0","20,0","0,0","5,7"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2021,6,2024,10,2028,36,28,0,0,0,"80,0","0,0","20,0","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2022,6,2024,10,2028,36,21,0,7,0,"60,0","0,0","40,0","0,0","20,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3564,ENFERMAGEM,2,24,2408003,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2019,2023,6,2024,10,2028,36,4,17,0,0,"11,4","48,6","40,0","48,6","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3567,CIÊNCIAS SOCIAIS,2,24,2408003,2,1,0114C03,Ciências sociais formação de professor,01,Educação,2019,2019,5,2023,8,2026,24,21,0,3,0,"87,5","0,0","12,5","0,0","12,5"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3567,CIÊNCIAS SOCIAIS,2,24,2408003,2,1,0114C03,Ciências sociais formação de professor,01,Educação,2019,2020,5,2023,8,2026,24,20,0,1,0,"83,3","0,0","16,7","0,0","4,2"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3567,CIÊNCIAS SOCIAIS,2,24,2408003,2,1,0114C03,Ciências sociais formação de professor,01,Educação,2019,2021,5,2023,8,2026,24,20,0,0,0,"83,3","0,0","16,7","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3567,CIÊNCIAS SOCIAIS,2,24,2408003,2,1,0114C03,Ciências sociais formação de professor,01,Educação,2019,2022,5,2023,8,2026,24,6,4,10,0,"25,0","16,7","58,3","16,7","41,7"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3567,CIÊNCIAS SOCIAIS,2,24,2408003,2,1,0114C03,Ciências sociais formação de professor,01,Educação,2019,2023,5,2023,8,2026,24,2,4,0,0,"8,3","33,3","58,3","16,7","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3568,HISTÓRIA,2,24,2408003,2,1,0114H01,História formação de professor,01,Educação,2019,2019,5,2023,9,2027,52,47,0,5,0,"90,4","0,0","9,6","0,0","9,6"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3568,HISTÓRIA,2,24,2408003,2,1,0114H01,História formação de professor,01,Educação,2019,2020,5,2023,9,2027,52,47,0,0,0,"90,4","0,0","9,6","0,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3568,HISTÓRIA,2,24,2408003,2,1,0114H01,História formação de professor,01,Educação,2019,2021,5,2023,9,2027,52,46,0,1,0,"88,5","0,0","11,5","0,0","1,9"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3568,HISTÓRIA,2,24,2408003,2,1,0114H01,História formação de professor,01,Educação,2019,2022,5,2023,9,2027,52,33,0,13,0,"63,5","0,0","36,5","0,0","25,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3568,HISTÓRIA,2,24,2408003,2,1,0114H01,História formação de professor,01,Educação,2019,2023,5,2023,9,2027,52,20,13,0,0,"38,5","25,0","36,5","25,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3569,GEOGRAFIA,2,24,2408003,2,1,0114G01,Geografia formação de professor,01,Educação,2019,2019,5,2023,8,2026,52,47,0,5,0,"90,4","0,0","9,6","0,0","9,6"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3569,GEOGRAFIA,2,24,2408003,2,1,0114G01,Geografia formação de professor,01,Educação,2019,2020,5,2023,8,2026,52,44,0,3,0,"84,6","0,0","15,4","0,0","5,8"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3569,GEOGRAFIA,2,24,2408003,2,1,0114G01,Geografia formação de professor,01,Educação,2019,2021,5,2023,8,2026,52,34,0,10,0,"65,4","0,0","34,6","0,0","19,2"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3569,GEOGRAFIA,2,24,2408003,2,1,0114G01,Geografia formação de professor,01,Educação,2019,2022,5,2023,8,2026,52,19,9,6,0,"36,5","17,3","46,2","17,3","11,5"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3569,GEOGRAFIA,2,24,2408003,2,1,0114G01,Geografia formação de professor,01,Educação,2019,2023,5,2023,8,2026,52,9,9,1,0,"17,3","34,6","48,1","17,3","1,9"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3570,DIREITO,2,24,2408003,1,1,0421D01,Direito,04,"Negócios, administração e direito",2019,2019,6,2024,10,2028,90,81,0,9,0,"90,0","0,0","10,0","0,0","10,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3570,DIREITO,2,24,2408003,1,1,0421D01,Direito,04,"Negócios, administração e direito",2019,2020,6,2024,10,2028,90,79,0,2,0,"87,8","0,0","12,2","0,0","2,2"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3570,DIREITO,2,24,2408003,1,1,0421D01,Direito,04,"Negócios, administração e direito",2019,2021,6,2024,10,2028,90,78,1,0,0,"86,7","1,1","12,2","1,1","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3570,DIREITO,2,24,2408003,1,1,0421D01,Direito,04,"Negócios, administração e direito",2019,2022,6,2024,10,2028,90,70,1,7,0,"77,8","2,2","20,0","1,1","7,8"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3570,DIREITO,2,24,2408003,1,1,0421D01,Direito,04,"Negócios, administração e direito",2019,2023,6,2024,10,2028,90,40,29,1,0,"44,4","34,4","21,1","32,2","1,1"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3571,MATEMÁTICA,2,24,2408003,2,1,0114M01,Matemática formação de professor,01,Educação,2019,2019,5,2023,9,2027,64,54,0,10,0,"84,4","0,0","15,6","0,0","15,6"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3571,MATEMÁTICA,2,24,2408003,2,1,0114M01,Matemática formação de professor,01,Educação,2019,2020,5,2023,9,2027,64,50,0,4,0,"78,1","0,0","21,9","0,0","6,3"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3571,MATEMÁTICA,2,24,2408003,2,1,0114M01,Matemática formação de professor,01,Educação,2019,2021,5,2023,9,2027,64,46,0,4,0,"71,9","0,0","28,1","0,0","6,3"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3571,MATEMÁTICA,2,24,2408003,2,1,0114M01,Matemática formação de professor,01,Educação,2019,2022,5,2023,9,2027,64,24,0,22,0,"37,5","0,0","62,5","0,0","34,4"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3571,MATEMÁTICA,2,24,2408003,2,1,0114M01,Matemática formação de professor,01,Educação,2019,2023,5,2023,9,2027,64,21,3,0,0,"32,8","4,7","62,5","4,7","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3572,FÍSICA,2,24,2408003,2,1,0114F02,Física formação de professor,01,Educação,2019,2019,5,2023,8,2026,34,30,0,4,0,"88,2","0,0","11,8","0,0","11,8"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3572,FÍSICA,2,24,2408003,2,1,0114F02,Física formação de professor,01,Educação,2019,2020,5,2023,8,2026,34,25,0,5,0,"73,5","0,0","26,5","0,0","14,7"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3572,FÍSICA,2,24,2408003,2,1,0114F02,Física formação de professor,01,Educação,2019,2021,5,2023,8,2026,34,18,0,7,0,"52,9","0,0","47,1","0,0","20,6"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3572,FÍSICA,2,24,2408003,2,1,0114F02,Física formação de professor,01,Educação,2019,2022,5,2023,8,2026,34,10,2,6,0,"29,4","5,9","64,7","5,9","17,6"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3572,FÍSICA,2,24,2408003,2,1,0114F02,Física formação de professor,01,Educação,2019,2023,5,2023,8,2026,34,8,2,0,0,"23,5","11,8","64,7","5,9","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3573,QUÍMICA,2,24,2408003,2,1,0114Q01,Química formação de professor,01,Educação,2019,2019,5,2023,8,2026,33,29,0,4,0,"87,9","0,0","12,1","0,0","12,1"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3573,QUÍMICA,2,24,2408003,2,1,0114Q01,Química formação de professor,01,Educação,2019,2020,5,2023,8,2026,33,27,0,2,0,"81,8","0,0","18,2","0,0","6,1"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3573,QUÍMICA,2,24,2408003,2,1,0114Q01,Química formação de professor,01,Educação,2019,2021,5,2023,8,2026,33,26,0,1,0,"78,8","0,0","21,2","0,0","3,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3573,QUÍMICA,2,24,2408003,2,1,0114Q01,Química formação de professor,01,Educação,2019,2022,5,2023,8,2026,33,17,1,8,0,"51,5","3,0","45,5","3,0","24,2"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3573,QUÍMICA,2,24,2408003,2,1,0114Q01,Química formação de professor,01,Educação,2019,2023,5,2023,8,2026,33,10,7,0,0,"30,3","24,2","45,5","21,2","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3574,CIÊNCIAS BIOLÓGICAS,2,24,2408003,2,1,0114B01,Biologia formação de professor,01,Educação,2019,2019,5,2023,8,2026,35,30,0,5,0,"85,7","0,0","14,3","0,0","14,3"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3574,CIÊNCIAS BIOLÓGICAS,2,24,2408003,2,1,0114B01,Biologia formação de professor,01,Educação,2019,2020,5,2023,8,2026,35,28,0,2,0,"80,0","0,0","20,0","0,0","5,7"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3574,CIÊNCIAS BIOLÓGICAS,2,24,2408003,2,1,0114B01,Biologia formação de professor,01,Educação,2019,2021,5,2023,8,2026,35,22,0,6,0,"62,9","0,0","37,1","0,0","17,1"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3574,CIÊNCIAS BIOLÓGICAS,2,24,2408003,2,1,0114B01,Biologia formação de professor,01,Educação,2019,2022,5,2023,8,2026,35,15,7,0,0,"42,9","20,0","37,1","20,0","0,0"
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,2,1,3574,CIÊNCIAS BIOLÓGICAS,2,24,2408003,2,1,0114B01,Biologia formação de professor,01,Educação,2019,2023,5,2023,8,2026,35,6,9,0,0,"17,1","45,7","37,1","25,7","0,0"
